symbol,date,sentiment_score,news_count,english_news,chinese_news
600036.SH,2025-12-20,-0.8984622359275818,1,1,0
600036.SH,2025-12-28,0.25,1,0,0
600036.SH,2025-12-30,0.49718236457556486,2,1,0
600036.SH,2026-01-09,1.0,1,0,0
600036.SH,2026-01-14,0.0,1,0,0
600036.SH,2026-01-19,0.505623403005302,2,1,0
600036.SH,2026-01-23,1.0,2,0,0
600036.SH,2026-01-28,-0.6144093871116638,1,1,0
600036.SH,2026-02-04,0.0,2,0,0
600036.SH,2026-02-08,0.0,1,0,0
600036.SH,2026-02-10,0.0,1,0,0
600036.SH,2026-02-12,0.0,1,0,0
600036.SH,2026-03-12,-1.0,1,0,0
600036.SH,2026-03-16,1.0,1,0,0
600036.SH,2026-03-17,1.0,1,0,0
600036.SH,2026-03-18,1.0,1,0,0
600036.SH,2026-03-20,0.012885058298707008,1,1,0
600036.SH,2026-03-23,1.0,1,0,0
600036.SH,2026-03-24,0.6666666666666666,3,0,0
600036.SH,2026-03-27,0.5099704787135124,2,1,0
600036.SH,2026-03-28,0.5,2,0,0
600036.SH,2026-03-29,0.05308019369840622,2,1,0
600036.SH,2026-03-30,0.17643124051392078,6,1,0
600036.SH,2026-03-31,0.08333333333333333,4,0,0
600036.SH,2026-04-01,0.0,1,0,0
600036.SH,2026-04-02,0.5,2,0,0
600036.SH,2026-04-03,0.34936925768852234,1,1,0
600036.SH,2026-04-05,0.0483001209795475,1,1,0
600036.SH,2026-04-08,0.0,1,0,0
600036.SH,2026-04-09,0.19154596514999866,3,2,0
600036.SH,2026-04-13,1.0,1,0,0
600036.SH,2026-04-14,0.0,1,0,0
600036.SH,2026-04-15,0.7601496696472168,5,1,0
600036.SH,2026-04-16,0.9099097847938538,1,1,0
600036.SH,2026-04-21,1.0,1,0,0
600036.SH,2026-04-22,0.5298268236219883,2,1,0
600036.SH,2026-04-23,0.017175018787384033,1,1,0
600036.SH,2026-04-24,1.0,1,0,0
600036.SH,2026-04-25,0.8523211479187012,2,1,0
600036.SH,2026-04-27,0.5822365880012512,2,1,0
600036.SH,2026-04-28,0.37731799208678496,26,11,0
600036.SH,2026-04-29,0.24423503638177682,23,10,0
600036.SH,2026-04-30,0.11789217122175075,45,14,0
600036.SH,2026-05-01,0.008603668538853526,8,2,0
600036.SH,2026-05-02,0.0,1,0,0
600036.SH,2026-05-03,0.1298677991144359,8,1,0
600036.SH,2026-05-04,-0.18416775597466364,3,1,0
600036.SH,2026-05-05,0.039999999999999994,5,0,0
600036.SH,2026-05-06,0.16666666666666666,9,0,0
600519.SH,2024-06-02,1.0,1,0,0
600519.SH,2024-06-27,0.03646407276391983,1,1,0
600519.SH,2024-08-14,0.05007156729698181,1,1,0
600519.SH,2024-09-13,0.0,1,0,0
600519.SH,2024-09-17,0.048198651522397995,1,1,0
600519.SH,2024-12-04,0.0,1,0,0
600519.SH,2024-12-13,1.0,1,0,0
600519.SH,2025-01-02,0.33566923439502716,3,2,0
600519.SH,2025-01-14,-0.024868659675121307,1,1,0
600519.SH,2025-01-24,0.023319153115153313,1,1,0
600519.SH,2025-04-02,0.7940765023231506,1,1,0
600519.SH,2025-04-22,1.0,1,0,0
600519.SH,2025-05-08,0.0,1,0,0
600519.SH,2025-05-14,-0.9593989253044128,1,1,0
600519.SH,2025-06-26,-0.2027413696050644,1,1,0
600519.SH,2025-07-18,0.020265702158212662,1,1,0
600519.SH,2025-08-01,0.7623029351234436,1,1,0
600519.SH,2025-08-08,0.37086342088878155,2,2,0
600519.SH,2025-08-12,-0.9602532982826233,1,1,0
600519.SH,2025-08-13,0.155126690864563,1,1,0
600519.SH,2025-08-14,1.0,1,0,0
600519.SH,2025-08-15,-0.9243404269218445,1,1,0
600519.SH,2025-08-18,-0.9074872732162476,1,1,0
600519.SH,2025-08-27,-0.14183196425437927,1,1,0
600519.SH,2025-09-05,-0.9293086528778076,1,1,0
600519.SH,2025-09-06,0.8832889795303345,1,1,0
600519.SH,2025-09-21,0.3168576955795288,1,1,0
600519.SH,2025-09-22,-0.10465166717767715,1,1,0
600519.SH,2025-09-25,0.8876528739929199,1,1,0
600519.SH,2025-09-26,0.0,1,0,0
600519.SH,2025-10-04,0.0,1,0,0
600519.SH,2025-10-26,0.0,1,0,0
